question,answer,category
"What should I learn in Week 1?","Week 1 (Prompt Engineering) covers: LLM Fundamentals (how LLMs work), Prompt Design Patterns (zero-shot, few-shot, chain-of-thought), Temperature and Sampling. These concepts teach you how to effectively interact with and prompt LLMs. Ask me to explain concepts or test your understanding!",week_concepts
"What should I learn in Week 2?","Week 2 (RAG Foundations) covers: Data Engineering for RAG, Embeddings Deep Dive, Embedding Models Comparison, Chunking Strategies, and Vector Database Fundamentals. These concepts are essential for building retrieval-augmented generation systems. Ask me to explain or test you!",week_concepts
"What should I learn in Week 3?","Week 3 (RAG Production) covers: Retrieval Strategies (hybrid search, reranking), Context Window Management, RAG Evaluation Metrics, and Hallucination Detection. These are production-ready RAG concepts. Ask me to explain concepts or create a study plan!",week_concepts
"What should I learn in Week 4?","Week 4 (Fine-tuning) covers: Transfer Learning for LLMs, PEFT Techniques (LoRA, QLoRA), Dataset Preparation, Training Dynamics, Evaluation for Fine-tuned Models, Constitutional AI Principles, and Open vs Closed Models. Ask me to explain or test your understanding!",week_concepts
"What should I learn in Week 5?","Week 5 (Inference Optimization) covers: Quantization Fundamentals, Inference Optimization Techniques, Cost Optimization Strategies, Inference Throughput Analysis. These concepts help optimize LLM deployment. Ask me to explain concepts or create a study plan!",week_concepts
"What should I learn in Week 6?","Week 6 (Safety and Guardrails) covers: LLM Security Fundamentals, Content Moderation Strategies, Input Validation Guards, Output Validation Guards. These concepts ensure safe AI deployment. Ask me to explain or test you on these concepts!",week_concepts
"What should I learn in Week 7?","Week 7 (AI Agents) covers: Async Patterns for Agents, Agent Architecture Patterns (ReAct, function calling), Agent Memory Systems, Planning and Reasoning, Tool Design Principles. These are core agent concepts. Ask me to explain or create a study plan!",week_concepts
"What should I learn in Week 8?","Week 8 (Multimodal AI) covers: Vision-Language Models, Audio Processing with LLMs, Document Understanding. These concepts enable AI systems that work with multiple data types. Ask me to explain concepts or test your understanding!",week_concepts
"What should I learn in Week 9?","Week 9 (Agentic RAG) covers: Agentic RAG Architecture, Query Understanding, Retrieval Agents. These concepts combine agents with RAG for advanced systems. Ask me to explain or create a study plan!",week_concepts
"What should I learn in Week 10?","Week 10 (Multi-Agent Systems) covers: Multi-Agent Architecture, Agent Orchestration Patterns, State Management for Agents. These concepts enable multiple agents working together. Ask me to explain or test you on these concepts!",week_concepts
"What should I learn in Week 11?","Week 11 (Reinforcement Fine-Tuning) covers: GRPO Fundamentals, Reward Functions, LLM as Judge, Reward Hacking, GRPO Loss Calculation. These concepts teach reinforcement learning fine-tuning. Ask me to explain or create a study plan!",week_concepts
"How do you help me remember concepts?","I help you remember concepts by: 1) Providing clear explanations with learning objectives, 2) Creating structured notes that organize information, 3) Breaking down complex concepts into simpler parts, 4) Connecting related concepts together, 5) Testing your understanding to reinforce learning. Ask 'Help me remember [concept]'!",memory_recall
"How can I recollect what I learned?","To recollect concepts, ask me: 'What did I learn about [topic]?' 'Remind me about Week X concepts' 'Help me recall [concept]' 'What are the key points about [topic]?' I'll provide summaries and key points. You can also test yourself with 'Test me on [concept]' to check recall!",memory_recall
"What are the key concepts I should remember?","Key concepts to remember: W00 (tokens, embeddings, attention, transformers), W01 (prompt patterns), W02 (RAG foundations, embeddings, chunking), W03 (retrieval strategies, evaluation), W04 (fine-tuning, PEFT), W05 (quantization, optimization), W06 (security, guardrails), W07 (agents, ReAct), W08 (multimodal), W09 (agentic RAG), W10 (multi-agent), W11 (GRPO, rewards). Ask me to explain or test you on any!",memory_recall
"How do concepts build on each other?","Concepts build progressively: W00 (foundations) → W01 (prompting) → W02-W03 (RAG) → W04 (fine-tuning) → W05 (optimization) → W06 (safety) → W07 (agents) → W08 (multimodal) → W09 (agentic RAG) → W10 (multi-agent) → W11 (reinforcement). Each week builds on previous concepts. Ask 'How does [concept] relate to [other concept]?' for connections!",concept_relationships
"What if I forgot a concept?","If you forgot a concept, just ask me! For example: 'Remind me what embeddings are' 'What was attention again?' 'Help me recall RAG concepts' 'What did we learn about fine-tuning?' I'll provide clear explanations. You can also test yourself with 'Test me on [concept]' to check your recall!",memory_recall
"How do I study concepts effectively?","Study effectively by: 1) Getting a study plan for the week/topic, 2) Asking me to explain concepts you don't understand, 3) Testing yourself with quick concept tests, 4) Reviewing prerequisites before new topics, 5) Using me to recollect and review. Ask 'Create a study plan for Week X' or 'Test me on [concept]'!",study_techniques
"What information do you have about concepts?","I have detailed information about all IST402 concepts including: Concept descriptions and explanations, Learning objectives for each concept, Prerequisites and how concepts relate, Week numbers and topics, Time estimates and difficulty levels, Keywords for each concept. Perfect for explanations, study plans, and tests!",capabilities
"How accurate is your concept information?","My concept information comes directly from the IST402 course knowledge base (knowledge_base.csv), which contains structured data about all course concepts. I provide explanations, study plans, and tests based on this official course information. If something isn't in the knowledge base, I'll let you know clearly.",capabilities
"What makes you different for learning concepts?","I'm your AI Skill Builder Assistant! I help you learn concepts effectively by: 1) Explaining concepts clearly with learning objectives, 2) Creating personalized study plans, 3) Testing your understanding with quick quizzes, 4) Organizing information by weeks, 5) Helping you remember and recollect concepts. Focus on building your AI skills!",capabilities
"How can I use you for self-learning concepts?","For self-learning concepts, you can: 1) Ask 'Explain [concept]' for detailed explanations, 2) Request 'Create a study plan for Week X' for structured learning, 3) Ask 'Test me on [concept]' for skill assessment, 4) Get week-by-week learning guidance, 5) Use me to recollect and review. I support independent skill building!",getting_started
"What should I ask you first about concepts?","Great first questions: 'What concepts are in Week 1?' 'Explain tokenization' 'Create a study plan for Week 0' 'Test me on embeddings' 'Help me understand attention mechanisms' 'What should I learn in Week 3?' Start with any week or concept that interests you! I'm here to help build your AI skills.",getting_started
